tcnumber,initdate,bestlat,bestlon,bestpres,bestwind,bestgale1,bestgale2,bestgale4,bestorm1,bestorm2,bestorm4
195101,1951022000,25,146,994,,0,0,0,0,0,0
195101,1951022006,27.6,150.6,994,,0,0,0,0,0,0
195101,1951022012,28.9,153.3,994,,0,0,0,0,0,0
195101,1951022018,31.3,157.5,992,,0,0,0,0,0,0
195101,1951022100,32.6,162.1,990,,0,0,0,0,0,0
195102,1951032018,8.2,169.5,980,,0,0,0,0,0,0
195102,1951032100,8.5,170.5,980,,0,0,0,0,0,0
195102,1951032106,8.8,171.6,978,,0,0,0,0,0,0
195102,1951032112,9.1,171.9,978,,0,0,0,0,0,0
195102,1951032118,9.4,172.2,978,,0,0,0,0,0,0
195102,1951032200,9.8,172.2,970,,0,0,0,0,0,0
195102,1951032206,10.2,172,970,,0,0,0,0,0,0
195102,1951032212,10.3,171.7,970,,0,0,0,0,0,0
195102,1951032218,10.5,171.4,970,,0,0,0,0,0,0
195102,1951032300,10.7,171.1,970,,0,0,0,0,0,0
195102,1951032306,11,170.7,975,,0,0,0,0,0,0
195102,1951032312,11.3,169.6,980,,0,0,0,0,0,0
195102,1951032318,11,168.4,985,,0,0,0,0,0,0
195102,1951032400,10.5,166.8,985,,0,0,0,0,0,0
195102,1951032406,10.3,165.2,985,,0,0,0,0,0,0
195102,1951032412,10.2,163.6,990,,0,0,0,0,0,0
195102,1951032418,10.3,162.6,995,,0,0,0,0,0,0
195102,1951032500,10.7,162.2,1000,,0,0,0,0,0,0
195103,1951041718,14.3,142.7,996,,0,0,0,0,0,0
195103,1951041800,15,142.5,995,,0,0,0,0,0,0
195103,1951041806,16,142.5,985,,0,0,0,0,0,0
195103,1951041812,16.2,142.2,985,,0,0,0,0,0,0
195103,1951041818,16,141.9,980,,0,0,0,0,0,0
195103,1951041900,15.8,141.6,990,,0,0,0,0,0,0
195103,1951041906,15.9,141,990,,0,0,0,0,0,0
195103,1951041912,15.9,140.2,990,,0,0,0,0,0,0
195103,1951041918,15.7,139.3,990,,0,0,0,0,0,0
195103,1951042000,15.3,138.2,990,,0,0,0,0,0,0
195103,1951042006,15.1,137,995,,0,0,0,0,0,0
195103,1951042012,14.8,136,995,,0,0,0,0,0,0
195103,1951042018,14.8,135.1,995,,0,0,0,0,0,0
195103,1951042100,14.7,134.3,997,,0,0,0,0,0,0
195103,1951042106,14.8,133.5,998,,0,0,0,0,0,0
195103,1951042112,14.8,132.8,998,,0,0,0,0,0,0
195103,1951042118,15,132,998,,0,0,0,0,0,0
195103,1951042200,15.1,131,998,,0,0,0,0,0,0
195103,1951042206,15.2,130.3,998,,0,0,0,0,0,0
195103,1951042212,15.5,129.4,1000,,0,0,0,0,0,0
195104,1951042918,7.6,142.4,1002,,0,0,0,0,0,0
195104,1951043000,8.1,141.7,1000,,0,0,0,0,0,0
195104,1951043006,8.1,140.7,998,,0,0,0,0,0,0
195104,1951043012,8.1,139.7,996,,0,0,0,0,0,0
195104,1951043018,8.5,138.7,994,,0,0,0,0,0,0
195104,1951050100,8.9,137.8,992,,0,0,0,0,0,0
195104,1951050106,9,136.8,987,,0,0,0,0,0,0
195104,1951050112,9.2,135.8,987,,0,0,0,0,0,0
195104,1951050118,9.6,135.1,987,,0,0,0,0,0,0
195104,1951050200,10.2,134.4,986,,0,0,0,0,0,0
195104,1951050206,10.5,134.1,984,,0,0,0,0,0,0
195104,1951050212,10.8,133.6,982,,0,0,0,0,0,0
195104,1951050218,11,132.9,970,,0,0,0,0,0,0
195104,1951050300,11,132.2,926,,0,0,0,0,0,0
195104,1951050306,10.9,131.9,912,,0,0,0,0,0,0
195104,1951050312,10.8,131.2,909,,0,0,0,0,0,0
195104,1951050318,11.4,130.4,909,,0,0,0,0,0,0
195104,1951050400,12.2,129.3,910,,0,0,0,0,0,0
195104,1951050406,11.9,127.8,909,,0,0,0,0,0,0
195104,1951050412,11.5,126.8,912,,0,0,0,0,0,0
195104,1951050418,11.5,125.6,919,,0,0,0,0,0,0
195104,1951050500,11.9,124.8,930,,0,0,0,0,0,0
195104,1951050506,12.5,124,941,,0,0,0,0,0,0
195104,1951050512,13,123.4,952,,0,0,0,0,0,0
195104,1951050518,13.6,122.7,964,,0,0,0,0,0,0
195104,1951050600,14,121.7,975,,0,0,0,0,0,0
195104,1951050606,14.3,120.6,984,,0,0,0,0,0,0
195104,1951050612,14.7,119.3,988,,0,0,0,0,0,0
195104,1951050618,15.3,118.4,988,,0,0,0,0,0,0
195104,1951050700,16.2,117.8,988,,0,0,0,0,0,0
195104,1951050706,17.2,118,986,,0,0,0,0,0,0
195104,1951050712,18.3,118.3,981,,0,0,0,0,0,0
195104,1951050718,19.1,118.7,978,,0,0,0,0,0,0
195104,1951050800,19.9,119.3,975,,0,0,0,0,0,0
195104,1951050806,21,120.3,974,,0,0,0,0,0,0
195104,1951050812,22.1,121.9,972,,0,0,0,0,0,0
195104,1951050818,23.2,123.6,970,,0,0,0,0,0,0
195104,1951050900,24,125.3,970,,0,0,0,0,0,0
195104,1951050906,25,128.1,976,,0,0,0,0,0,0
195104,1951050912,26.1,130.7,983,,0,0,0,0,0,0
195104,1951050918,26.7,133.3,990,,0,0,0,0,0,0
195104,1951051000,27,136,993,,0,0,0,0,0,0
195104,1951051006,27.7,139.9,995,,0,0,0,0,0,0
195104,1951051012,27.7,142.4,995,,0,0,0,0,0,0
195104,1951051018,27.5,144.5,995,,0,0,0,0,0,0
195104,1951051100,27.4,145.8,995,,0,0,0,0,0,0
195104,1951051106,28.2,143.7,995,,0,0,0,0,0,0
195105,1951050800,13.4,160.4,990,,0,0,0,0,0,0
195105,1951050806,13.7,160.7,980,,0,0,0,0,0,0
195105,1951050812,13.9,160.9,980,,0,0,0,0,0,0
195105,1951050818,14.1,161.1,985,,0,0,0,0,0,0
195105,1951050900,14.2,161.3,985,,0,0,0,0,0,0
195105,1951050906,13.7,161.1,985,,0,0,0,0,0,0
195105,1951050912,13.6,160.5,985,,0,0,0,0,0,0
195105,1951050918,13.6,159.8,988,,0,0,0,0,0,0
195105,1951051000,13.8,158.9,990,,0,0,0,0,0,0
195105,1951051006,14.2,157.8,993,,0,0,0,0,0,0
195105,1951051012,14.8,156.8,995,,0,0,0,0,0,0
195105,1951051018,15.5,155.9,1000,,0,0,0,0,0,0
195105,1951051100,16.6,155.4,1005,,0,0,0,0,0,0
195105,1951051106,17.6,155,1002,,0,0,0,0,0,0
195106,1951062906,19.3,126.9,994,,0,0,0,0,0,0
195106,1951062912,21.2,126.9,992,,0,0,0,0,0,0
195106,1951062918,22.6,128,990,,0,0,0,0,0,0
195106,1951063000,23.7,128.9,990,,0,0,0,0,0,0
195106,1951063006,25,129.3,988,,0,0,0,0,0,0
195106,1951063012,26.7,129.8,986,,0,0,0,0,0,0
195106,1951063018,28,130.6,983,,0,0,0,0,0,0
195106,1951070100,29.7,131,980,,0,0,0,0,0,0
195106,1951070106,31.2,131.6,975,,0,0,0,0,0,0
195106,1951070112,32.5,132.5,976,,0,0,0,0,0,0
195106,1951070118,33.8,133.8,985,,0,0,0,0,0,0
195106,1951070200,34.8,135,993,,0,0,0,0,0,0
